case,phase,start_year,withdrawal,path_order,portfolio,net_operating_cash_delta_vs_rr1,deaths_delta_vs_rr1,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,half_loss_20d_episodes_min5_delta_vs_rr1
operating__2024__minimum__mae_first__four,operating,2024,minimum,mae_first,four,16007.0,-4,0,0.0,0,-3,1
operating__2024__minimum__mae_first__wide,operating,2024,minimum,mae_first,wide,23014.0,-5,0,0.0,0,-4,0
isolation__2025__minimum__mae_first__rr_0.50,isolation,2025,minimum,mae_first,rr_0.50,0.0,0,0,25.1618,0,0,0
isolation__2025__minimum__mae_first__rr_0.75,isolation,2025,minimum,mae_first,rr_0.75,0.0,0,0,24.9021,0,0,0
isolation__2025__minimum__mae_first__rr_1.00,isolation,2025,minimum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2025__minimum__mae_first__rr_1.25,isolation,2025,minimum,mae_first,rr_1.25,0.0,0,0,0.1104,0,0,0
isolation__2025__minimum__mae_first__rr_1.50,isolation,2025,minimum,mae_first,rr_1.50,0.0,0,0,0.1104,0,0,0
isolation__2025__minimum__mae_first__rr_2.00,isolation,2025,minimum,mae_first,rr_2.00,0.0,0,0,80.9761,0,0,0
isolation__2025__minimum__mae_first__rr_2.50,isolation,2025,minimum,mae_first,rr_2.50,0.0,0,0,80.9761,0,0,0
isolation__2025__minimum__mae_first__rr_3.00,isolation,2025,minimum,mae_first,rr_3.00,0.0,0,0,28.0595,0,0,0
isolation__2025__minimum__mae_first__rr_3.50,isolation,2025,minimum,mae_first,rr_3.50,0.0,0,0,81.2875,0,0,0
isolation__2025__minimum__mae_first__near,isolation,2025,minimum,mae_first,near,0.0,0,0,0.1104,-10,0,1
isolation__2025__minimum__mae_first__modest,isolation,2025,minimum,mae_first,modest,0.0,0,0,0.1104,-10,0,1
isolation__2025__minimum__mae_first__four,isolation,2025,minimum,mae_first,four,0.0,0,0,0.0,-15,-5,0
isolation__2025__minimum__mae_first__wide,isolation,2025,minimum,mae_first,wide,0.0,0,0,0.1104,-15,-10,2
operating__2025__minimum__mae_first__rr_0.50,operating,2025,minimum,mae_first,rr_0.50,6120.0,-11,-1,-12.1627,1,-4,-1
operating__2025__minimum__mae_first__rr_0.75,operating,2025,minimum,mae_first,rr_0.75,132.0,0,0,-5.8569,0,-1,0
operating__2025__minimum__mae_first__rr_1.00,operating,2025,minimum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2025__minimum__mae_first__rr_1.25,operating,2025,minimum,mae_first,rr_1.25,1073.0,-4,-1,-12.1627,0,-1,0
operating__2025__minimum__mae_first__rr_1.50,operating,2025,minimum,mae_first,rr_1.50,3922.0,-5,-1,-12.1627,0,-2,0
operating__2025__minimum__mae_first__rr_2.00,operating,2025,minimum,mae_first,rr_2.00,7830.0,-9,-1,-12.1627,0,-4,-1
operating__2025__minimum__mae_first__rr_2.50,operating,2025,minimum,mae_first,rr_2.50,11429.0,-10,-1,-12.1627,-1,-5,0
operating__2025__minimum__mae_first__rr_3.00,operating,2025,minimum,mae_first,rr_3.00,15646.0,-8,-1,-12.1627,1,-4,-1
operating__2025__minimum__mae_first__rr_3.50,operating,2025,minimum,mae_first,rr_3.50,18021.0,-10,-1,-12.1627,0,-4,-1
operating__2025__minimum__mae_first__near,operating,2025,minimum,mae_first,near,349.0,-2,0,-6.0062,0,0,0
operating__2025__minimum__mae_first__modest,operating,2025,minimum,mae_first,modest,4955.0,-9,-1,-12.1627,0,-4,-1
operating__2025__minimum__mae_first__four,operating,2025,minimum,mae_first,four,2448.0,-3,-1,-12.1627,0,-2,0
operating__2025__minimum__mae_first__wide,operating,2025,minimum,mae_first,wide,9370.0,-9,-1,-12.1627,-1,-5,-1
isolation__2020__maximum__mae_first__rr_0.50,isolation,2020,maximum,mae_first,rr_0.50,0.0,0,0,-448.7716,0,0,0
isolation__2020__maximum__mae_first__rr_0.75,isolation,2020,maximum,mae_first,rr_0.75,0.0,0,0,0.0,0,0,0
isolation__2020__maximum__mae_first__rr_1.00,isolation,2020,maximum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2020__maximum__mae_first__rr_1.25,isolation,2020,maximum,mae_first,rr_1.25,0.0,0,0,10.7338,0,0,0
isolation__2020__maximum__mae_first__rr_1.50,isolation,2020,maximum,mae_first,rr_1.50,0.0,0,0,10.6921,0,0,0
isolation__2020__maximum__mae_first__rr_2.00,isolation,2020,maximum,mae_first,rr_2.00,0.0,0,0,0.0,0,0,0
isolation__2020__maximum__mae_first__rr_2.50,isolation,2020,maximum,mae_first,rr_2.50,0.0,0,0,13.2238,0,0,0
isolation__2020__maximum__mae_first__rr_3.00,isolation,2020,maximum,mae_first,rr_3.00,0.0,0,0,13.4034,0,0,0
isolation__2020__maximum__mae_first__rr_3.50,isolation,2020,maximum,mae_first,rr_3.50,0.0,0,0,13.4034,0,0,0
isolation__2020__maximum__mae_first__near,isolation,2020,maximum,mae_first,near,0.0,0,0,0.0,-10,0,1
isolation__2020__maximum__mae_first__modest,isolation,2020,maximum,mae_first,modest,0.0,0,0,-448.7716,-10,-10,1
isolation__2020__maximum__mae_first__four,isolation,2020,maximum,mae_first,four,0.0,0,0,-448.7716,-10,-5,1
isolation__2020__maximum__mae_first__wide,isolation,2020,maximum,mae_first,wide,0.0,0,0,-448.7716,-15,-5,2
operating__2020__maximum__mae_first__rr_0.50,operating,2020,maximum,mae_first,rr_0.50,-123260.4,14,-1,32.5984,3,-3,3
operating__2020__maximum__mae_first__rr_0.75,operating,2020,maximum,mae_first,rr_0.75,-56065.2,4,1,40.375,0,-3,1
operating__2020__maximum__mae_first__rr_1.00,operating,2020,maximum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2020__maximum__mae_first__rr_1.25,operating,2020,maximum,mae_first,rr_1.25,73073.6,-11,0,0.1576,-2,-4,-1
operating__2020__maximum__mae_first__rr_1.50,operating,2020,maximum,mae_first,rr_1.50,123235.47,-13,0,0.1576,0,-3,-2
operating__2020__maximum__mae_first__rr_2.00,operating,2020,maximum,mae_first,rr_2.00,107177.97,-12,0,0.0,0,-5,-5
operating__2020__maximum__mae_first__rr_2.50,operating,2020,maximum,mae_first,rr_2.50,174545.28,-7,0,0.1576,0,-5,-3
operating__2020__maximum__mae_first__rr_3.00,operating,2020,maximum,mae_first,rr_3.00,124433.34,-2,0,0.0896,0,-6,0
operating__2020__maximum__mae_first__rr_3.50,operating,2020,maximum,mae_first,rr_3.50,125279.34,4,0,0.7507,-1,-3,1
