case,experiment,phase,start_year,path_order,portfolio,nominal_sleeves,rr_count,rr_width,mean_target,net_operating_cash,receipts,total_costs,copies,prior_control_reproduced,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive,largest_within_sleeve_signal_loss,max_sleeves_lost_same_signal,multi_sleeve_signal_events,max_sleeves_lost_same_day,multi_sleeve_day_events,sleeve_loss_events,full_copier_sleeve_loss_events,observed_live_days,mean_live_accounts,mean_occupied_sleeves,mean_equal_headroom_fraction,mean_effective_headroom_groups,mean_total_headroom,mean_total_positive_equity,march1_alive,march_cohort_deaths,march_total_deaths,march31_alive
primary__isolation__2024__mae_first__wide4,primary,isolation,2024,mae_first,wide4,4,4,3.0,6800.0,306000.0,310000.0,4000.0,64250,True,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,4.0,0.25594594594594594,3.9707387437837838,128154.89864864865,129348.10972972972,20,0,0,20
primary__isolation__2024__mae_first__center4,primary,isolation,2024,mae_first,center4,4,4,1.5,6800.0,316000.0,320000.0,4000.0,61645,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,4.0,0.2627027027027027,3.93787388,128099.65108108109,129456.92945945945,20,0,0,20
primary__isolation__2024__mae_first__edge4,primary,isolation,2024,mae_first,edge4,4,4,3.0,6800.0,271000.0,275000.0,4000.0,66215,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,4.0,0.25891891891891894,3.9473873935135133,123693.20702702703,124901.2727027027,20,0,0,20
primary__isolation__2024__mae_first__without050,primary,isolation,2024,mae_first,without050,4,4,2.75,6800.0,303500.0,307500.0,4000.0,62970,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,4.0,0.257027027027027,3.965261267027027,127530.02891891892,128782.67162162162,20,0,0,20
primary__isolation__2024__mae_first__extremes2,primary,isolation,2024,mae_first,extremes2,2,2,3.0,6800.0,271000.0,275000.0,4000.0,67190,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,2.0,0.5010810810810811,1.9978378378378379,123509.6918918919,124619.36486486487,20,0,0,20
primary__isolation__2024__mae_first__grid5,primary,isolation,2024,mae_first,grid5,5,5,3.0,6800.0,292000.0,296000.0,4000.0,63844,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,5.0,0.20951351351351352,4.9362605027027024,125986.76043243243,127283.67848648647,20,0,0,20
primary__isolation__2024__mae_first__grid10,primary,isolation,2024,mae_first,grid10,10,10,3.0,6800.0,310000.0,314000.0,4000.0,63372,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,10.0,0.11416216216216217,9.747317555675675,128386.7905945946,129633.36172972972,20,0,0,20
primary__isolation__2024__mae_first__grid20,primary,isolation,2024,mae_first,grid20,20,20,3.0,6800.0,308500.0,312500.0,4000.0,63130,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,20.0,0.0672972972972973,19.300887114594595,128384.57475675676,129686.49162162162,20,0,0,20
primary__isolation__2024__mae_first__ladder4,primary,isolation,2024,mae_first,ladder4,4,1,0.0,6800.0,271000.0,275000.0,4000.0,70090,False,5,1,5,0.25,2026-03-24T00:00:00,0,5,5,5,0.25,2026-03-18T00:00:00,0,5,5,5,0.25,2026-02-25T00:00:00,0,5,5,0,0.0,5,20,15,5,1,0,1,0,1,1,925,19.4,3.88,0.4437837837837838,3.1128648756756756,115347.04054054055,116694.12918918919,20,5,5,15
primary__isolation__2024__mae_first__ladder20,primary,isolation,2024,mae_first,ladder20,20,1,0.0,6800.0,273000.0,277000.0,4000.0,69278,False,4,2,4,0.235294,2026-03-27T00:00:00,0,4,4,7,0.35,2026-03-23T00:00:00,0,7,7,7,0.35,2026-03-02T00:00:00,0,7,7,0,0.0,7,20,13,1,4,2,4,2,7,7,925,19.17297297297297,19.17297297297297,0.4009502262443439,4.722933663783784,113900.84616216217,115225.23210810812,20,7,7,13
