case,at,live_before_final_loss,max_live_ever_before,max_live_preceding_20_calendar_days,reopened_at,days_until_reopening
primary__operating__2021__mae_first__rr_2.39,2022-06-13T17:11:40,1,8,3,2022-06-22T00:00:00,8.283564814814815
primary__operating__2021__mae_first__rr_2.39,2022-07-01T16:36:20,1,8,1,2022-07-07T00:00:00,5.308101851851852
primary__operating__2021__mae_first__rr_2.39,2023-01-05T22:50:40,2,9,2,2023-02-01T00:00:00,26.048148148148147
primary__operating__2021__mae_first__rr_2.50,2021-09-28T21:13:40,6,6,6,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_2.50,2022-01-10T16:31:40,2,7,4,2022-01-12T00:00:00,1.3113425925925926
primary__operating__2021__mae_first__rr_2.50,2022-06-14T14:45:40,1,8,3,2022-06-22T00:00:00,7.384953703703704
primary__operating__2021__mae_first__rr_2.50,2022-07-01T16:36:20,1,8,1,2022-07-07T00:00:00,5.308101851851852
primary__operating__2021__mae_first__rr_2.50,2022-11-16T23:30:00,1,9,8,2022-12-01T00:00:00,14.020833333333334
primary__operating__2021__mae_first__rr_2.50,2023-01-05T22:50:40,1,9,1,2023-02-01T00:00:00,26.048148148148147
primary__operating__2021__mae_first__rr_2.55,2021-09-28T21:13:40,6,6,6,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_2.55,2022-01-10T23:00:00,2,7,4,2022-01-12T00:00:00,1.0416666666666667
primary__operating__2021__mae_first__rr_2.55,2022-06-14T16:40:40,1,8,1,2022-07-07T00:00:00,22.305092592592594
primary__operating__2021__mae_first__rr_2.55,2023-01-05T22:50:40,3,9,3,2023-01-27T00:00:00,21.048148148148147
primary__operating__2021__mae_first__rr_2.71,2021-09-28T21:13:40,6,6,6,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_2.71,2022-01-10T16:31:40,2,7,4,2022-01-12T00:00:00,1.3113425925925926
primary__operating__2021__mae_first__rr_2.71,2022-06-15T16:00:00,1,8,1,2022-07-07T00:00:00,21.333333333333332
primary__operating__2021__mae_first__rr_2.71,2023-01-05T22:50:40,3,9,4,2023-01-27T00:00:00,21.048148148148147
primary__operating__2021__mae_first__rr_2.75,2021-09-28T21:13:40,6,6,6,2021-09-29T00:00:00,0.11550925925925926
primary__operating__2021__mae_first__rr_2.75,2022-01-10T13:23:40,2,7,4,2022-01-12T00:00:00,1.441898148148148
primary__operating__2021__mae_first__rr_2.75,2022-06-15T23:30:00,1,8,1,2022-07-07T00:00:00,21.020833333333332
primary__operating__2021__mae_first__rr_2.75,2023-01-05T22:50:40,4,9,4,2023-01-27T00:00:00,21.048148148148147
primary__operating__2021__mae_first__rr_2.83,2021-09-28T21:13:40,6,6,6,2021-09-29T00:00:00,0.11550925925925926
