product,window,minimum_reserve,maximum_reserve,per_pa_capital_gap_pct,book_capital_gap_pct,within_tolerance,minimum_ongoing,maximum_ongoing,minimum_total,maximum_total,minimum_alive,maximum_alive,minimum_deaths,maximum_deaths,minimum_frozen_std,maximum_frozen_std,minimum_per_pa_capital,maximum_per_pa_capital,minimum_book_capital,maximum_book_capital
legacy_25k,start_2023,3000,4000,1.27,2.166,True,320129.0,298136.95,320129.0,305636.95,6,6,34,36,552.0641,443.9138,3174.42,3214.73,42641.71,43565.36
legacy_25k,start_2023,3100,4100,0.215,0.143,True,319129.0,294952.2,319129.0,299452.2,6,3,34,35,559.653,351.6971,3268.43,3275.45,43912.3,43974.91
legacy_25k,start_2023,3200,4200,1.51,1.15,True,315129.0,292886.05,315129.0,297386.05,6,3,34,35,560.5602,374.6522,3317.85,3367.94,44710.38,45224.36
legacy_25k,start_2023,3300,4200,0.884,1.236,True,315129.0,292886.05,315129.0,297386.05,6,3,34,35,558.2023,374.6522,3397.99,3367.94,45790.3,45224.36
legacy_25k,start_2023,3400,4300,0.01,0.348,True,310570.0,290700.0,310570.0,295200.0,6,3,35,35,550.9692,402.269,3458.41,3458.07,46597.0,46434.71
legacy_25k,start_2023,3500,4300,0.777,0.54,True,308570.0,290700.0,310070.0,295200.0,5,3,36,35,451.1928,402.269,3485.14,3458.07,46686.6,46434.71
legacy_25k,start_2023,3600,4500,1.184,0.506,True,308985.0,287267.75,311985.0,291767.75,7,3,36,35,465.5701,440.9374,3558.24,3600.37,48156.27,48399.81
legacy_25k,start_2023,3700,4500,0.898,0.841,True,303228.0,287267.75,304728.0,291767.75,5,3,35,35,463.3117,440.9374,3633.0,3600.37,48810.47,48399.81
legacy_25k,start_2023,3800,4500,3.069,3.013,True,303228.0,287267.75,304728.0,291767.75,5,3,35,35,455.0075,440.9374,3714.36,3600.37,49903.59,48399.81
legacy_25k,start_2023,3900,5000,3.698,4.691,True,298728.0,275359.3,300228.0,279859.3,5,6,35,35,461.5295,459.1059,3766.27,3905.55,50729.38,53109.06
legacy_25k,start_2023,4000,5000,3.053,3.554,True,297676.0,275359.3,300676.0,279859.3,6,6,36,35,473.3898,459.1059,3789.84,3905.55,51286.21,53109.06
legacy_25k,start_2023,4100,5000,1.438,1.888,True,296676.0,275359.3,299676.0,279859.3,6,6,36,35,469.3805,459.1059,3850.18,3905.55,52125.02,53109.06
legacy_25k,start_2023,4200,5000,0.98,0.276,True,292044.0,275359.3,293544.0,279859.3,3,6,35,35,422.7898,459.1059,3944.2,3905.55,52963.12,53109.06
legacy_25k,start_2023,4300,5000,3.611,2.389,True,292044.0,275359.3,293544.0,279859.3,3,6,35,35,442.3841,459.1059,4051.86,3905.55,54408.84,53109.06
legacy_25k,start_2023,4400,5000,5.002,3.844,False,288544.0,275359.3,290044.0,279859.3,3,6,35,35,445.8601,459.1059,4111.18,3905.55,55232.36,53109.06
legacy_25k,start_2023,4500,5000,5.575,4.462,False,287544.0,275359.3,289044.0,279859.3,3,6,35,35,448.2014,459.1059,4136.14,3905.55,55589.36,53109.06
legacy_25k,start_2023,5000,6000,2.011,2.323,True,275900.0,254793.25,278900.0,257793.25,6,5,35,35,524.2932,519.6267,4452.52,4542.05,60562.21,61968.92
legacy_25k,start_2023,5700,6100,4.66,5.416,False,259801.0,272161.9,264301.0,392429.76,3,20,34,10,521.2139,490.9803,4859.36,4632.9,65786.78,69349.91
legacy_25k,start_2023,6000,6300,5.756,0.974,False,260301.0,268238.75,264801.0,397257.55,8,20,29,9,568.0532,458.8902,5043.99,4753.68,70486.32,71173.18
legacy_25k,start_2023,6100,6400,5.442,0.097,False,261301.0,266238.75,265801.0,397257.55,10,20,27,9,575.847,465.5615,5104.66,4826.88,72198.75,72269.12
legacy_25k,start_2023,6200,6800,0.562,0.412,True,266546.0,258238.75,269546.0,397257.55,18,20,17,9,570.775,505.2948,5136.11,5107.22,76152.52,76466.44
legacy_25k,start_2023,6300,6900,0.318,0.659,True,266046.0,256238.75,269046.0,397257.55,18,20,17,9,574.0293,507.446,5182.73,5166.24,76843.69,77350.2
legacy_25k,start_2023,6400,7000,0.653,0.653,True,267159.0,254238.75,267159.0,397257.55,20,20,9,9,551.712,514.8259,5269.22,5234.82,78891.94,78376.98
legacy_25k,start_2023,6500,7200,0.674,0.674,True,266159.0,250238.75,266159.0,397257.55,20,20,9,9,568.109,537.7564,5342.56,5378.55,79990.03,80528.83
legacy_25k,start_2023,6600,7200,0.619,0.619,True,265159.0,250238.75,265159.0,397257.55,20,20,9,9,585.0863,537.7564,5412.06,5378.55,81030.65,80528.83
legacy_25k,start_2023,6700,7400,0.427,0.427,True,260659.0,246238.75,260659.0,397257.55,20,20,9,9,583.4288,549.689,5482.53,5505.95,82085.75,82436.29
legacy_25k,start_2023,6800,7400,0.317,0.317,True,260659.0,246238.75,260659.0,397257.55,20,20,9,9,590.6079,549.689,5523.46,5505.95,82698.52,82436.29
legacy_25k,start_2023,6900,7500,0.523,0.523,True,257159.0,244238.75,257159.0,397257.55,20,20,9,9,600.9234,556.7739,5598.86,5569.58,83827.47,83389.02
legacy_25k,start_2023,7000,7500,1.51,1.51,True,256159.0,244238.75,256159.0,397257.55,20,20,9,9,612.2472,556.7739,5654.96,5569.58,84667.33,83389.02
legacy_25k,start_2023,7100,7500,2.692,2.692,True,255159.0,244238.75,255159.0,397257.55,20,20,9,9,624.3193,556.7739,5723.68,5569.58,85696.3,83389.02
legacy_25k,start_2023,7200,8000,1.807,1.807,True,250659.0,234238.75,250659.0,397257.55,20,20,9,9,636.4311,579.7305,5794.2,5898.89,86752.17,88319.49
