product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash,execution,copies,signals_executed,signal_participation,allocation_sha256,objective,tested_count,tied_best,boundary_best
legacy_25k,1000,200,monthly_current_slot_replacements,10,2,minimum,calendar_month,1600,26700.0,200.0,86,20,0,832,293800.0,162278.71,456078.71,16600.0,472678.71,blocking,115032,9102,0.719070943276979,8db706d0a3eca086ad6b3e0c8744341b654027a94fde4d731fe95f605b9605c4,total,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,10,3,minimum,weekly,1900,27000.0,200.0,127,9,0,745,414600.0,0,414600.0,16600.0,431200.0,blocking,122403,9074,0.7168589034602623,03c14e98740d9777378bdb099d3b2bc495488668c982cb226c520b78a26897b6,ongoing,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,10,3,minimum,calendar_month,2900,28000.0,200.0,75,20,0,639,271000.0,186265.09,457265.09,16600.0,473865.09,blocking,112521,9306,0.7351872333702006,43ab995f07b6ae53f389a2160de4638e225988bdf75b22f40b8608225758692b,total,90,2,False
legacy_25k,1000,200,monthly_current_slot_replacements,10,5,minimum,weekly,1800,26900.0,200.0,158,15,0,550,408900.0,0,408900.0,16600.0,425500.0,blocking,127271,9067,0.7163058935060831,cdf400e0cc72623a1fbec5fddcd148a3747e573a2e1876e9683634a56874527a,ongoing,82,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,10,5,minimum,calendar_month,0,25100.0,200.0,165,20,0,507,316000.0,152162.55,468162.55,16600.0,484762.55,blocking,140528,9141,0.7221519987359772,f4e19825b3c0f0540d10f2e7450ef766acceca4c7c3a8715235fa241328bc409,total,82,7,True
legacy_25k,1000,200,monthly_current_slot_replacements,10,10,maximum,weekly,0,25100.0,200.0,391,20,0,391,467859.95,0,467859.95,16600.0,484459.95,blocking,139098,8779,0.6935534839627113,b2c2e18cc1094bf2633e84c8d440210ed5835bf82de8ccab261c0a6f293a961d,ongoing,82,2,True
legacy_25k,1000,200,monthly_current_slot_replacements,10,10,minimum,calendar_month,0,25100.0,200.0,175,20,0,165,358000.0,153443.8,511443.8,16600.0,528043.8,blocking,150398,9141,0.7221519987359772,3cc2522eb5c6450f0d03130a6773876ff0b99f9e8a43c0b8a402c2eda5436b9f,total,82,7,True
legacy_25k,1000,200,monthly_one,0,1,maximum,weekly,4000,29100.0,200.0,74,3,0,0,236917.35,3000.0,239917.35,16600.0,256517.35,blocking,79810,9207,0.7273660925896667,501a1fe9cd6d132b8cb0dd6bc04883b573df4ea6411a076d68b4f406e2ab916c,ongoing,90,1,False
legacy_25k,1000,200,monthly_one,0,1,minimum,calendar_month,3600,28700.0,200.0,74,19,0,0,172200.0,144542.87,316742.87,16600.0,333342.87,blocking,87183,9253,0.731000158002844,f0af1e57e822ffa6beedd56515fc7ac363a1da926d0367bc5a7d74e379af8361,total,90,2,False
legacy_25k,1000,200,weekly_one,0,1,minimum,daily,2900,28000.0,200.0,79,4,0,262,221700.0,0,221700.0,16600.0,238300.0,blocking,71715,9044,0.7144888607994944,009aa0c987eaea2425ad0108a07eaf80eebbc7f708c4b9e81d9cdf2b57ff1725,ongoing,86,1,False
legacy_25k,1000,200,weekly_one,0,1,minimum,calendar_month,3600,28700.0,200.0,75,19,0,245,158000.0,140626.99,298626.99,16600.0,315226.99,blocking,81906,9044,0.7144888607994944,fc1724a50749cd222fe184ed6a82e4f3e9654ef001e7f9186689c97141173343,total,86,4,False
legacy_25k,1000,200,weekly_one,0,2,minimum,weekly,2100,27200.0,200.0,103,6,0,105,369400.0,0,369400.0,16600.0,386000.0,blocking,106691,9062,0.7159108863959551,f416298398d8d1cddcf7f680a4a625d09d99aa6e38051f343e8b44b24fc139f1,ongoing,90,1,False
legacy_25k,1000,200,weekly_one,0,2,minimum,calendar_month,1700,26800.0,200.0,84,20,0,74,281200.0,161997.25,443197.25,16600.0,459797.25,blocking,113467,9126,0.7209669774055933,2b98bc6a50653ba2ddbd309727cf124b20605500e06285bd7701bc97156cf5cb,total,90,2,False
legacy_25k,1000,200,weekly_one,0,3,minimum,daily,3000,28100.0,200.0,85,7,0,17,361000.0,1500.0,362500.0,16600.0,379100.0,blocking,98743,9017,0.7123558224048033,ab0e76918f59ae43993a9d451340ac9189387eecaf62e445cd8d8151fd82c20b,ongoing,90,1,False
legacy_25k,1000,200,weekly_one,0,3,minimum,calendar_month,2400,27500.0,200.0,73,20,0,15,260900.0,173875.15,434775.15,16600.0,451375.15,blocking,106677,9045,0.71456786222152,72d5a7c89852d5d1ac750ddeae24df53b5bea524a163cda36b49bfb913df3aaf,total,90,1,False
legacy_25k,1000,200,weekly_one,0,5,minimum,daily,3000,28100.0,200.0,90,10,0,0,367000.0,1500.0,368500.0,16600.0,385100.0,blocking,100378,9042,0.7143308579554432,fa641963d666fbd7593fe2bf8949fe3d27f5db71093a1d501e2b476aac37986d,ongoing,90,1,False
legacy_25k,1000,200,weekly_one,0,5,minimum,calendar_month,2400,27500.0,200.0,73,20,0,0,262400.0,176614.0,439014.0,16600.0,455614.0,blocking,107864,9045,0.71456786222152,fe2526cab7d44981acb3a064bea0f76d840137f073b0a24c8ceaf46bb6c0e566,total,90,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,0,1,minimum,weekly,2300,27400.0,200.0,79,4,0,1743,214200.0,0,214200.0,5000.0,219200.0,blocking,68964,9092,0.718280929056723,c4ebce324dcc4d3536fbf0cea729a49c86a88058817af676580df735c284aee6,ongoing,90,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,0,1,minimum,calendar_month,1800,26900.0,200.0,79,17,0,1684,173200.0,112458.59,285658.59,5000.0,290658.59,blocking,78954,9096,0.7185969347448254,a1c3103afcb85b9eb4ac237bec677c8dfaf3603df380ae1a3c82344add958232,total,90,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,0,2,minimum,weekly,2100,27200.0,200.0,98,6,0,1043,377400.0,0,377400.0,5000.0,382400.0,blocking,105392,9026,0.7130668352030336,3418bca20d085092d4d6f628967856bfdb8eb04f256e04ff52eee3e601198ac3,ongoing,86,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,0,2,minimum,calendar_month,1700,26800.0,200.0,77,20,0,919,287600.0,160139.41,447739.41,5000.0,452739.41,blocking,111542,9102,0.719070943276979,d0dea2fc3866acf6f356304765138e54b50749f511e3b3f6164dfeb205d1824d,total,86,2,False
legacy_25k,5000,0,monthly_current_slot_replacements,0,3,minimum,weekly,1900,27000.0,200.0,117,9,0,819,410100.0,0,410100.0,5000.0,415100.0,blocking,120164,9025,0.712987833781008,cc7bc55f96a6a2fe5adefdc24357ef53e3988a7efbd87a1b328dedf5df5557a7,ongoing,86,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,0,3,minimum,calendar_month,1600,26700.0,200.0,93,20,0,642,306900.0,162991.14,469891.14,5000.0,474891.14,blocking,124136,9102,0.719070943276979,978b4c2a9d88705e9e6691595b02a9c07e455a60b543040a5ccda3d6b7159436,total,86,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,0,5,maximum,weekly,2000,27100.0,200.0,194,5,0,813,354744.6,0,354744.6,5000.0,359744.6,blocking,124804,8905,0.7035076631379364,5cf415ddf91c08586969976e18a57e77fa34efa583151b09f47ca4c1d89ee57d,ongoing,82,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,0,5,minimum,calendar_month,0,25100.0,200.0,155,20,0,627,326000.0,152162.55,478162.55,5000.0,483162.55,blocking,136506,9144,0.722389003002054,cd663613bc551994fe7e134bf2000bff509d35397f2543aa06b9b6d451b72de6,total,82,7,True
