case,portfolio,start_year,permutation,assignment_order,accounts,deaths,alive,net_operating_cash,receipts,acquisition_costs,retained_equity,copies,mean_daily_alive,book_wipeouts,days_empty_after_first_activation,continuous_after_activation,first_activation,prior_ledger_reproduced,tape_first_entry,tape_last_exit
rr_triple__2024__p05,rr_triple,2024,5,RR:1.00;RR:0.50;RR:2.50,38,23,15,87110.0,94500.0,7390.0,103149.7,32334,9.056216216216216,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2024__p06,rr_triple,2024,6,RR:1.00;RR:2.50;RR:0.50,40,23,17,113827.0,121500.0,7673.0,117380.35,37042,10.507027027027027,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2025__p01,rr_triple,2025,1,RR:0.50;RR:2.50;RR:1.00,20,13,7,1751.0,6000.0,4249.0,40765.65,8432,3.8318425760286225,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2025__p02,rr_triple,2025,2,RR:0.50;RR:1.00;RR:2.50,16,9,7,883.0,4500.0,3617.0,38245.45,8050,3.6135957066189626,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2025__p03,rr_triple,2025,3,RR:2.50;RR:0.50;RR:1.00,19,12,7,1909.0,6000.0,4091.0,40201.75,8258,3.8747763864042932,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2025__p04,rr_triple,2025,4,RR:2.50;RR:1.00;RR:0.50,21,14,7,758.0,5000.0,4242.0,41433.95,8366,3.960644007155635,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2025__p05,rr_triple,2025,5,RR:1.00;RR:0.50;RR:2.50,15,9,6,-25.0,3500.0,3525.0,33334.65,7802,3.520572450805009,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2025__p06,rr_triple,2025,6,RR:1.00;RR:2.50;RR:0.50,18,12,6,34.0,4000.0,3966.0,34356.85,8148,3.7656529516994635,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2020__p01,cross_triple,2020,1,RR:0.50;GG:1.25;RR:1.00,93,73,20,302170.0,319900.0,17730.0,143908.55,133637,13.315171835708298,0,0.0,True,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
cross_triple__2020__p02,cross_triple,2020,2,RR:0.50;RR:1.00;GG:1.25,89,69,20,299951.0,316950.0,16999.0,143196.45,133001,13.295054484492875,0,0.0,True,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
cross_triple__2020__p03,cross_triple,2020,3,GG:1.25;RR:0.50;RR:1.00,84,64,20,316271.0,332150.0,15879.0,143055.75,135065,13.458088851634535,1,0.0856,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
