initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,spares,passes,total_25k,total_50k,total_delta_50k_minus_25k,accounts_25k,accounts_50k
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,5,10,-1000.0,439138.45,440138.45,5,43
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,10,1,298261.47,410770.78,112509.31,58,37
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,10,2,-1000.0,461862.57,462862.57,5,37
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,10,3,-1000.0,449941.44,450941.44,5,39
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,10,5,-1000.0,439138.45,440138.45,5,43
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,10,10,-1000.0,439138.45,440138.45,5,43
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,0,1,256185.76,334306.21,78120.45,55,41
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,0,2,343827.94,374096.32,30268.38,50,36
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,0,3,-1000.0,390248.6,391248.6,5,36
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,0,5,-1000.0,367633.54,368633.54,5,40
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,0,10,-1000.0,367607.64,368607.64,5,40
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,5,1,256185.76,334306.21,78120.45,55,41
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,5,2,-1000.0,423703.34,424703.34,5,36
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,5,3,-1000.0,422794.43,423794.43,5,36
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,5,5,-1000.0,367607.64,368607.64,5,40
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,5,10,-1000.0,367607.64,368607.64,5,40
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,10,1,256185.76,334306.21,78120.45,55,41
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,10,2,-1000.0,423703.34,424703.34,5,36
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,10,3,-1000.0,422794.43,423794.43,5,36
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,10,5,-1000.0,367607.64,368607.64,5,40
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,10,10,-1000.0,367607.64,368607.64,5,40
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,0,1,143049.91,216096.42,73046.51,45,44
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,0,2,243243.16,331139.26,87896.1,71,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,0,3,-1000.0,353238.55,354238.55,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,0,5,-1000.0,355091.75,356091.75,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,0,10,-1000.0,356421.65,357421.65,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,5,1,143049.91,216096.42,73046.51,45,44
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,5,2,-1000.0,354967.65,355967.65,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,5,3,-1000.0,356421.65,357421.65,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,5,5,-1000.0,356421.65,357421.65,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,5,10,-1000.0,356421.65,357421.65,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,10,1,143049.91,216096.42,73046.51,45,44
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,10,2,-1000.0,354967.65,355967.65,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,10,3,-1000.0,356421.65,357421.65,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,10,5,-1000.0,356421.65,357421.65,5,32
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,10,10,-1000.0,356421.65,357421.65,5,32
1000,0,monthly_current_slot_replacements,maximum,daily,0,0,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,0,0,2,-892.6,-756.15,136.45,17,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,0,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,0,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,0,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,5,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,0,5,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,5,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,5,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,5,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,10,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,0,10,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,10,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,10,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,0,10,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,0,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,500,0,2,-892.6,-756.15,136.45,17,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,0,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,0,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,0,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,5,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,500,5,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,5,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,5,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,5,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,10,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,500,10,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,10,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,10,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,500,10,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,0,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,1000,0,2,-892.6,-756.15,136.45,17,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,0,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,0,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,0,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,5,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,1000,5,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,5,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,5,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,5,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,10,1,-920.6,-823.85,96.75,18,11
1000,0,monthly_current_slot_replacements,maximum,daily,1000,10,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,10,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,10,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,10,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,0,1,59883.75,-823.85,-60707.6,78,11
1000,0,monthly_current_slot_replacements,maximum,daily,1500,0,2,-900.75,-756.15,144.6,14,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,0,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,0,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,0,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,5,1,58507.55,-823.85,-59331.4,78,11
1000,0,monthly_current_slot_replacements,maximum,daily,1500,5,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,5,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,5,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,5,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,10,1,58507.55,-823.85,-59331.4,78,11
1000,0,monthly_current_slot_replacements,maximum,daily,1500,10,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,10,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,10,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,1500,10,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,0,1,60329.05,-823.85,-61152.9,76,11
1000,0,monthly_current_slot_replacements,maximum,daily,2000,0,2,-873.85,-756.15,117.7,14,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,0,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,0,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,0,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,5,1,59641.8,-823.85,-60465.65,76,11
1000,0,monthly_current_slot_replacements,maximum,daily,2000,5,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,5,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,5,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,5,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,10,1,59641.8,-823.85,-60465.65,76,11
1000,0,monthly_current_slot_replacements,maximum,daily,2000,10,2,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,10,3,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,10,5,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,10,10,-1000.0,-756.15,243.85,5,8
1000,0,monthly_current_slot_replacements,maximum,daily,3000,0,1,-873.85,-823.85,50.0,9,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,0,2,-873.85,-979.25,-105.4,9,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,0,3,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,0,5,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,0,10,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,5,1,-873.85,-823.85,50.0,9,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,5,2,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,5,3,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,5,5,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,5,10,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,10,1,-873.85,-823.85,50.0,9,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,10,2,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,10,3,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,10,5,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,3000,10,10,-1000.0,-979.25,20.75,5,7
1000,0,monthly_current_slot_replacements,maximum,daily,4000,0,1,158696.9,239438.85,80741.95,61,57
1000,0,monthly_current_slot_replacements,maximum,daily,4000,0,2,282383.75,319247.35,36863.6,91,73
