portfolio,components,windows,mean_pnl,mean_mdd,worst_mdd,lower_mdd_than_rr1,lower_mdd_than_best_constituent,mean_smoothing,early12_mdd_wins,early12_mean_mdd_delta,early12_mean_pnl_delta,later11_mdd_wins,later11_mean_mdd_delta,later11_mean_pnl_delta
pair_1.50_2.00,1.50/2.00,23,5189.634782608696,3454.048913043478,6059.25,8,2,64.40978260869565,6,-248.48333333333335,1341.5479166666669,2,646.4977272727272,632.9204545454546
pair_2.25_3.00,2.25/3.00,23,5411.598913043478,3458.3217391304347,5398.0250000000015,7,2,48.411956521739036,5,-73.5416666666669,1340.70625,2,464.58636363636384,1097.9454545454544
pair_2.00_3.50,2.00/3.50,23,5353.603260869565,3460.8,5995.0,8,12,89.18586956521739,6,-278.21041666666656,1556.0770833333333,2,693.0431818181819,741.7318181818179
pair_2.00_3.25,2.00/3.25,23,5489.166304347826,3463.9923913043476,5428.525,8,4,62.48913043478276,6,-257.6541666666668,1628.4645833333332,2,677.2931818181817,946.2136363636364
pair_2.00_2.75,2.00/2.75,23,5314.511956521739,3466.3228260869564,5533.3,8,9,60.74130434782596,6,-187.52916666666673,1353.9666666666667,2,605.6659090909093,880.4795454545452
pair_1.50_3.00,1.50/3.00,23,5291.347826086956,3480.278260869565,5893.325000000001,6,6,94.3619565217392,4,-194.43125000000018,1317.5145833333333,2,642.375,871.8113636363634
pair_2.00_3.00,2.00/3.00,23,5307.339130434782,3501.63152173913,5661.625,8,2,56.626086956521874,6,-143.18750000000023,1387.6458333333335,2,631.1204545454544,828.7409090909091
rr_2.00,2.00,23,5205.626086956522,3502.0760869565215,5809.7,8,0,0.0,6,-136.08750000000012,1411.6791666666668,2,624.3045454545455,589.85
pair_2.75_3.25,2.75/3.25,23,5598.052173913044,3504.6239130434783,5152.125,6,2,46.84565217391292,4,-149.61458333333326,1570.7520833333333,2,644.3886363636365,1236.8431818181816
pair_2.75_3.50,2.75/3.50,23,5462.489130434783,3507.796739130435,5718.6,6,5,67.1771739130435,4,-174.8791666666667,1498.3645833333333,2,678.5840909090911,1032.3613636363636
rr_1.50,1.50,23,5173.643478260869,3534.8413043478263,6535.150000000001,5,0,0.0,5,-246.90416666666673,1271.4166666666667,0,813.7045454545455,675.9909090909091
rr_3.25,3.25,23,5772.70652173913,3550.886956521739,5047.349999999999,10,0,0.0,8,-168.65833333333342,1845.25,2,761.8954545454543,1302.5772727272727
rr_2.75,2.75,23,5423.397826086956,3552.0521739130436,5256.900000000001,6,0,0.0,4,-69.21250000000002,1296.2541666666666,2,655.8454545454546,1171.1090909090906
pair_2.75_3.00,2.75/3.00,23,5416.224999999999,3563.0521739130436,5385.225,6,0,20.193478260869576,4,-10.929166666666674,1329.9333333333334,2,615.2636363636364,1119.3704545454543
pair_3.00_3.25,3.00/3.25,23,5590.879347826087,3565.3706521739127,5280.450000000001,6,0,17.29239130434792,4,-85.59791666666676,1604.43125,2,701.5681818181815,1185.1045454545454
pair_3.25_3.50,3.25/3.50,23,5637.143478260869,3569.211956521739,5613.825000000001,6,0,5.179347826086877,4,-161.5979166666666,1772.8625,2,792.5090909090908,1098.0954545454545
pair_3.00_3.50,3.00/3.50,23,5455.316304347826,3570.3934782608694,5846.924999999999,6,4,35.773913043478366,4,-99.8708333333334,1532.04375,2,727.640909090909,980.6227272727273
rr_3.50,3.50,23,5501.580434782609,3597.8956521739133,6180.300000000001,6,0,0.0,4,-150.99999999999991,1700.475,2,840.9227272727272,893.6136363636364
rr_3.00,3.00,23,5409.052173913044,3614.4391304347823,5513.55,6,0,0.0,4,49.87916666666657,1363.6125,2,656.3727272727273,1067.631818181818
