cohort,rr,budget,method,breached,horizon_open_trade_censored,trade_key,window,entry,exit,pnl_before,pnl_after,kind,interval_start
12m_2020-10-01,0.75,1500,closed_floor,True,0,RR0.75:21-22:111:386,21-22,2021-03-04T21:44:40,2021-03-04T23:30:00,-1479.05,-1521.6,close,2021-03-04T23:30:00
12m_2020-10-01,0.75,1500,excursion_floor,True,0,RR0.75:8-9:108:397,8-9,2021-02-26T08:03:40,2021-02-26T10:00:00,-1487.75,-1353.3,mae,2021-02-26T08:03:40
12m_2020-10-01,0.75,1500,closed_peak_dd,True,0,RR0.75:17-18:70:324,17-18,2021-01-29T17:23:40,2021-01-29T18:22:40,-333.7,-609.25,realized_drawdown,2021-01-29T18:22:40
12m_2020-10-01,0.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-10-01,0.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-10-01,0.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-10-01,1.00,1500,closed_floor,True,0,RR1.00:8-9:139:500,8-9,2021-06-09T08:16:40,2021-06-09T08:35:40,-1496.3,-1513.35,close,2021-06-09T08:35:40
12m_2020-10-01,1.00,1500,excursion_floor,True,0,RR1.00:8-9:139:500,8-9,2021-06-09T08:16:40,2021-06-09T08:35:40,-1496.3,-1513.35,mae,2021-06-09T08:16:40
12m_2020-10-01,1.00,1500,closed_peak_dd,True,0,RR1.00:16-17:170:464,16-17,2021-02-22T16:37:40,2021-02-22T16:42:20,284.2,190.15,realized_drawdown,2021-02-22T16:42:20
12m_2020-10-01,1.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-10-01,1.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-10-01,1.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-10-01,1.25,1500,closed_floor,False,0,,,,,,,,
12m_2020-10-01,1.25,1500,excursion_floor,False,0,,,,,,,,
