months,budget,gap,left,right,shared,left_only,right_only,reciprocal,jaccard
1,6800,5,1.75,2.75,0,0,0,False,
1,6800,5,1.75,3.00,0,0,0,False,
1,6800,5,1.75,3.25,0,0,0,False,
1,6800,5,1.75,3.50,0,0,0,False,
1,6800,5,2.00,2.25,0,0,0,False,
1,6800,5,2.00,2.50,0,0,0,False,
1,6800,5,2.00,2.75,0,0,0,False,
1,6800,5,2.00,3.00,0,0,0,False,
1,6800,5,2.00,3.25,0,0,0,False,
1,6800,5,2.00,3.50,0,0,0,False,
1,6800,5,2.25,2.50,0,0,0,False,
1,6800,5,2.25,2.75,0,0,0,False,
1,6800,5,2.25,3.00,0,0,0,False,
1,6800,5,2.25,3.25,0,0,0,False,
1,6800,5,2.25,3.50,0,0,0,False,
1,6800,5,2.50,2.75,0,0,0,False,
1,6800,5,2.50,3.00,0,0,0,False,
1,6800,5,2.50,3.25,0,0,0,False,
1,6800,5,2.50,3.50,0,0,0,False,
1,6800,5,2.75,3.00,0,0,0,False,
1,6800,5,2.75,3.25,0,0,0,False,
1,6800,5,2.75,3.50,0,0,0,False,
1,6800,5,3.00,3.25,0,0,0,False,
1,6800,5,3.00,3.50,0,0,0,False,
1,6800,5,3.25,3.50,0,0,0,False,
1,6800,20,0.50,0.75,0,0,0,False,
1,6800,20,0.50,1.00,0,0,0,False,
1,6800,20,0.50,1.25,0,0,0,False,
1,6800,20,0.50,1.50,0,0,0,False,
1,6800,20,0.50,1.75,0,0,0,False,
1,6800,20,0.50,2.00,0,0,0,False,
1,6800,20,0.50,2.25,0,0,0,False,
1,6800,20,0.50,2.50,0,0,0,False,
1,6800,20,0.50,2.75,0,0,0,False,
1,6800,20,0.50,3.00,0,0,0,False,
1,6800,20,0.50,3.25,0,0,0,False,
1,6800,20,0.50,3.50,0,0,0,False,
1,6800,20,0.75,1.00,0,0,0,False,
1,6800,20,0.75,1.25,0,0,0,False,
1,6800,20,0.75,1.50,0,0,0,False,
1,6800,20,0.75,1.75,0,0,0,False,
1,6800,20,0.75,2.00,0,0,0,False,
1,6800,20,0.75,2.25,0,0,0,False,
