study,policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,trading_neutral,booked_net_trading_usd
Pair overlap,fixed_250_backlog,33600.0,8500.0,163055.75,181732.95,344788.7,21,True,470886.5
RR1 overlap,fixed_250_backlog,34100.0,9000.0,174948.0,259460.79,434408.79,22,True,462022.2
Pair while flat,fixed_250_backlog,34100.0,9000.0,180449.15,105567.85,286017.0,27,True,527774.4
Pair overlap,fixed_250_backlog,34100.0,9000.0,161008.6,184232.95,345241.55,21,True,470886.5
RR1 overlap,fixed_250_backlog,34600.0,9500.0,173448.0,258960.79,432408.79,22,True,462022.2
Pair while flat,fixed_250_backlog,34600.0,9500.0,180449.15,80914.71,261363.86,27,True,527774.4
Pair overlap,fixed_250_backlog,34600.0,9500.0,158774.4,208046.25,366820.65,21,True,470886.5
RR1 overlap,fixed_250_backlog,35100.0,10000.0,170440.9,259960.79,430401.69,22,True,462022.2
Pair while flat,fixed_250_backlog,35100.0,10000.0,178791.7,83183.08,261974.78,27,True,527774.4
Pair overlap,fixed_250_backlog,35100.0,10000.0,156758.6,209046.25,365804.85,21,True,470886.5
RR1 overlap,fixed_500_backlog,,,102403.9,31642.2,134046.1,7,False,131311.05
Pair while flat,fixed_500_backlog,,,43832.65,0.0,43832.65,3,False,48001.3
Pair overlap,fixed_500_backlog,,,75284.05,0.0,75284.05,5,False,129369.25
RR1 overlap,fixed_500_backlog,25100.0,0.0,102403.9,31642.2,134046.1,7,False,131311.05
Pair while flat,fixed_500_backlog,25100.0,0.0,43832.65,0.0,43832.65,3,False,48001.3
Pair overlap,fixed_500_backlog,25100.0,0.0,75284.05,0.0,75284.05,5,False,129369.25
RR1 overlap,fixed_500_backlog,25600.0,500.0,102403.9,31642.2,134046.1,7,False,131311.05
Pair while flat,fixed_500_backlog,25600.0,500.0,43832.65,0.0,43832.65,3,False,48001.3
Pair overlap,fixed_500_backlog,25600.0,500.0,75284.05,0.0,75284.05,5,False,129369.25
RR1 overlap,fixed_500_backlog,26100.0,1000.0,102403.9,31642.2,134046.1,7,False,131311.05
Pair while flat,fixed_500_backlog,26100.0,1000.0,43533.6,0.0,43533.6,3,False,47690.05
Pair overlap,fixed_500_backlog,26100.0,1000.0,75284.05,0.0,75284.05,5,False,129369.25
RR1 overlap,fixed_500_backlog,26600.0,1500.0,99071.3,31642.2,130713.5,7,False,127554.45
Pair while flat,fixed_500_backlog,26600.0,1500.0,40049.15,0.0,40049.15,3,False,44178.05
Pair overlap,fixed_500_backlog,26600.0,1500.0,77875.7,0.0,77875.7,5,False,131512.95
RR1 overlap,fixed_500_backlog,27100.0,2000.0,99334.85,31642.2,130977.05,7,False,127676.25
Pair while flat,fixed_500_backlog,27100.0,2000.0,74015.05,0.0,74015.05,4,False,83485.6
Pair overlap,fixed_500_backlog,27100.0,2000.0,73030.35,0.0,73030.35,5,False,126047.55
RR1 overlap,fixed_500_backlog,27600.0,2500.0,114388.3,31642.2,146030.5,7,False,142698.05
Pair while flat,fixed_500_backlog,27600.0,2500.0,136114.35,0.0,136114.35,8,False,176029.15
Pair overlap,fixed_500_backlog,27600.0,2500.0,81663.0,0.0,81663.0,6,False,140444.2
RR1 overlap,fixed_500_backlog,28100.0,3000.0,200355.75,50610.9,250966.65,11,False,248478.3
Pair while flat,fixed_500_backlog,28100.0,3000.0,200457.75,0.0,200457.75,17,False,311479.0
Pair overlap,fixed_500_backlog,28100.0,3000.0,104735.4,0.0,104735.4,8,False,175191.45
RR1 overlap,fixed_500_backlog,28600.0,3500.0,221802.95,56137.8,277940.75,12,False,275865.25
Pair while flat,fixed_500_backlog,28600.0,3500.0,225798.3,10006.77,235805.07,20,False,347477.9
Pair overlap,fixed_500_backlog,28600.0,3500.0,187631.35,0.0,187631.35,10,False,283259.5
RR1 overlap,fixed_500_backlog,29100.0,4000.0,230356.95,57137.8,287494.75,12,False,285393.25
Pair while flat,fixed_500_backlog,29100.0,4000.0,246441.81,11006.77,257448.58,20,False,371046.7
Pair overlap,fixed_500_backlog,29100.0,4000.0,221276.5,4310.74,225587.24,12,False,324232.05
RR1 overlap,fixed_500_backlog,29600.0,4500.0,329802.25,70204.66,400006.91,15,False,400406.25
Pair while flat,fixed_500_backlog,29600.0,4500.0,362727.48,40018.87,402746.35,27,True,527774.4
Pair overlap,fixed_500_backlog,29600.0,4500.0,244388.2,23257.82,267646.02,19,False,379113.1
RR1 overlap,fixed_500_backlog,30100.0,5000.0,358330.1,80943.98,439274.08,18,False,443868.95
Pair while flat,fixed_500_backlog,30100.0,5000.0,356921.13,49775.31,406696.44,27,True,527774.4
Pair overlap,fixed_500_backlog,30100.0,5000.0,239774.85,27257.82,267032.67,19,False,378616.3
RR1 overlap,fixed_500_backlog,30600.0,5500.0,354389.12,82934.98,437324.1,18,False,441875.6
Pair while flat,fixed_500_backlog,30600.0,5500.0,351254.72,60202.28,411457.0,27,True,527774.4
Pair overlap,fixed_500_backlog,30600.0,5500.0,234594.8,37227.51,271822.31,19,False,377898.4
RR1 overlap,fixed_500_backlog,31100.0,6000.0,350620.6,95248.33,445868.93,20,False,450995.8
Pair while flat,fixed_500_backlog,31100.0,6000.0,343005.32,65455.88,408461.2,27,True,527774.4
Pair overlap,fixed_500_backlog,31100.0,6000.0,256428.45,46537.75,302966.2,20,False,423893.9
RR1 overlap,fixed_500_backlog,31600.0,6500.0,346082.7,110403.31,456486.01,22,True,462022.2
Pair while flat,fixed_500_backlog,31600.0,6500.0,334732.97,73110.39,407843.36,27,True,527774.4
Pair overlap,fixed_500_backlog,31600.0,6500.0,275453.86,50817.9,326271.76,21,True,470886.5
RR1 overlap,fixed_500_backlog,32100.0,7000.0,339832.7,107101.83,446934.53,22,True,462022.2
Pair while flat,fixed_500_backlog,32100.0,7000.0,327799.67,78049.24,405848.91,27,True,527774.4
Pair overlap,fixed_500_backlog,32100.0,7000.0,271914.04,52056.95,323970.99,21,True,470886.5
RR1 overlap,fixed_500_backlog,32600.0,7500.0,332715.08,107693.71,440408.79,22,True,462022.2
Pair while flat,fixed_500_backlog,32600.0,7500.0,320659.66,83299.24,403958.9,27,True,527774.4
Pair overlap,fixed_500_backlog,32600.0,7500.0,265762.99,55256.45,321019.44,21,True,470886.5
RR1 overlap,fixed_500_backlog,33100.0,8000.0,324517.48,113891.31,438408.79,22,True,462022.2
Pair while flat,fixed_500_backlog,33100.0,8000.0,312398.61,81137.1,393535.71,27,True,527774.4
Pair overlap,fixed_500_backlog,33100.0,8000.0,259812.51,58976.3,318788.81,21,True,470886.5
RR1 overlap,fixed_500_backlog,33600.0,8500.0,315284.28,121124.51,436408.79,22,True,462022.2
Pair while flat,fixed_500_backlog,33600.0,8500.0,305355.05,85887.1,391242.15,27,True,527774.4
