policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,path_fingerprint,stage,copies_checked,alive_rr050,alive_rr250,trading_neutral,earnings_vs_benchmark_usd,book_ceiling_usd,ceiling_capture
fixed_250_backlog,28100.0,3000.0,76209.3,137149.66,213358.96,12,155,8,212616.25,71303.47,279973.4,4163.12,288825.55,75466.59,3f0d35c8a9999d4f2a226aebcd77ffa2f3e38a1b61ca8456a83c1408e139b3a0,coarse,87939,6,6,False,-190913.1,481308.75,0.443289
fixed_250_backlog,28600.0,3500.0,139326.4,137149.66,276476.06,15,215,8,241744.85,100432.07,372305.0,4163.12,381071.25,104595.19,f4d94fb182772ed6dd0356751763d0eafb5fc3937252f10c388347f9b64522d1,coarse,126234,9,6,False,-98581.5,481308.75,0.574426
fixed_250_backlog,29100.0,4000.0,155351.85,137043.63,292395.48,19,225,9,266595.9,125287.53,411756.85,4264.74,421947.75,129552.27,c8f11ef1d18a8ef0e37127e21e7a5a0dddf8fc27312e9e095286e4288fb0045a,coarse,134503,13,6,False,-59129.65,481308.75,0.607501
fixed_250_backlog,29200.0,4100.0,172694.55,171285.77,343980.32,21,251,10,308614.2,130092.34,470886.5,7236.09,481308.75,137328.43,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.714677
fixed_250_backlog,29300.0,4200.0,172507.9,171285.77,343793.67,21,250,10,308800.85,130278.99,470886.5,7236.09,481308.75,137515.08,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.714289
fixed_250_backlog,29400.0,4300.0,172307.9,171285.77,343593.67,21,248,10,309000.85,130478.99,470886.5,7236.09,481308.75,137715.08,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.713874
fixed_250_backlog,29500.0,4400.0,172107.9,171285.77,343393.67,21,245,10,309200.85,130678.99,470886.5,7236.09,481308.75,137915.08,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.713458
fixed_250_backlog,29600.0,4500.0,171907.9,171285.77,343193.67,21,244,10,309400.85,130878.99,470886.5,7236.09,481308.75,138115.08,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.713043
fixed_250_backlog,29700.0,4600.0,171957.9,157225.53,329183.43,21,246,9,309350.85,144889.23,470886.5,7236.09,481308.75,152125.32,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.683934
fixed_250_backlog,29800.0,4700.0,171094.55,172785.77,343880.32,21,245,11,310214.2,130192.34,470886.5,7236.09,481308.75,137428.43,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.714469
fixed_250_backlog,29900.0,4800.0,170744.55,209625.35,380369.9,21,244,12,310564.2,90331.7,470886.5,10607.15,481308.75,100938.85,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.790283
fixed_250_backlog,30000.0,4900.0,170644.55,201564.61,372209.16,21,243,12,310664.2,98492.44,470886.5,10607.15,481308.75,109099.59,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.773327
fixed_250_backlog,30100.0,5000.0,170544.55,201564.61,372109.16,21,241,12,310764.2,98592.44,470886.5,10607.15,481308.75,109199.59,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.773119
fixed_250_backlog,30600.0,5500.0,169950.0,203064.61,373014.61,21,235,13,311358.75,97686.99,470886.5,10607.15,481308.75,108294.14,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.775001
fixed_250_backlog,31100.0,6000.0,170200.0,200525.06,370725.06,21,229,12,311108.75,99976.54,470886.5,10607.15,481308.75,110583.69,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.770244
fixed_250_backlog,31600.0,6500.0,170808.4,147149.0,317957.4,21,222,9,310500.35,153834.81,470886.5,9516.54,481308.75,163351.35,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.66061
fixed_250_backlog,31700.0,6600.0,170633.95,147149.0,317782.95,21,221,9,310674.8,154009.26,470886.5,9516.54,481308.75,163525.8,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.660248
fixed_250_backlog,31800.0,6700.0,170183.95,161209.24,331393.19,21,221,10,311124.8,140399.02,470886.5,9516.54,481308.75,149915.56,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.688525
fixed_250_backlog,31900.0,6800.0,169983.95,161209.24,331193.19,21,220,10,311324.8,140599.02,470886.5,9516.54,481308.75,150115.56,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.68811
